Country,ABRV,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,AFG,17822884,18381605,18863999,19403676,20093756,20966463,21979923,23064851,24118979,25070798,25893450,26616792,27294031,28004331,28803167,29708599,30696958,31731688,32758020,33736494,34656032,35530081,35530081
Albania,ALB,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2873457,2873457
Algeria,DZA,29411415,29886839,30335732,30765613,31183660,31592153,31995046,32403514,32831096,33288437,33777915,34300076,34860715,35465760,36117637,36819558,37565847,38338562,39113313,39871528,40606052,41318142,41318142
American Samoa,ASM,53929,54941,55901,56770,57521,58175,58731,59117,59264,59118,58650,57903,57030,56227,55637,55320,55230,55307,55437,55537,55599,55641,55641
Andorra,AND,64360,64327,64142,64370,65390,67341,70049,73182,76244,78867,80991,82683,83861,84462,84449,83751,82431,80788,79223,78014,77281,76965,76965
Angola,AGO,14682284,15088981,15504318,15949766,16440924,16983266,17572649,18203369,18865716,19552542,20262399,20997687,21759420,22549547,23369131,24218565,25096150,25998340,26920466,27859305,28813463,29784193,29784193
Antigua and Barbuda,ATG,75628,77739,79851,81831,83584,85057,86266,87293,88257,89253,90301,91381,92478,93581,94661,95719,96777,97824,98875,99923,100963,102012,102012
Argentina,ARG,35419682,35833969,36241590,36648068,37057452,37471509,37889370,38309379,38728696,39145488,39558890,39970224,40382389,40799407,41223889,41656879,42096739,42539925,42981515,43417765,43847430,44271041,44271041
Armenia,ARM,3168215,3133086,3108684,3089017,3069588,3050655,3033897,3017806,3000612,2981259,2958500,2933056,2908220,2888584,2877311,2875581,2881922,2893509,2906220,2916950,2924816,2930450,2930450
Aruba,ABW,83200,85451,87277,89005,90853,92898,94992,97017,98737,100031,100832,101220,101353,101453,101669,102053,102577,103187,103795,104341,104822,105264,105264
Australia,AUS,18311000,18517000,18711000,18926000,19153000,19413000,19651400,19895400,20127400,20394800,20697900,20827600,21249200,21691700,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24601860
Austria,AUT,7959017,7968041,7976789,7992324,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,8321496,8343323,8363404,8391643,8429991,8479823,8546356,8642699,8736668,8797566,8797566
Azerbaijan,AZE,7763000,7838250,7913000,7982750,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,8763400,8947243,9054332,9173082,9295784,9416801,9535079,9649341,9757812,9854033,9854033
Bahamas,BHS,283790,286970,290060,293572,297890,303135,309157,315746,322526,329249,335830,342328,348676,354856,360832,366568,372039,377240,382169,386838,391232,395361,395361
Bahrain,BHR,578668,594930,613702,636545,664614,697549,735148,778711,829848,889168,958414,1035891,1114590,1185029,1240862,1278269,1300217,1315411,1336397,1371855,1425171,1492584,1492584
Bangladesh,BGD,121269645,123854640,126447965,129029691,131581243,134107160,136600667,139019001,141307489,143431101,145368004,147139191,148805814,150454708,152149102,153911916,155727053,157571292,159405279,161200886,162951560,164669751,164669751
Barbados,BRB,265942,266945,267950,268922,269847,270685,271478,272258,273091,274009,275039,276150,277319,278470,279569,280601,281585,282509,283385,284217,284996,285719,285719
Belarus,BLR,10160000,10117000,10069000,10026738,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9527985,9506765,9490583,9473172,9464495,9465997,9474511,9489616,9501534,9498264,9498264
Belgium,BEL,10156637,10181245,10203008,10226419,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,10709973,10796493,10895586,11038264,11106932,11159407,11209057,11274196,11331422,11382393,11382393
Belize,BLZ,213676,221606,230284,239026,247315,254984,262206,269130,276089,283277,290747,298407,306165,313929,321608,329192,336701,344181,351694,359288,366954,374681,374681
Benin,BEN,6094259,6281639,6470265,6664098,6865951,7076733,7295394,7520555,7750004,7982225,8216896,8454791,8696916,8944706,9199259,9460802,9729160,10004451,10286712,10575952,10872298,11175692,11175692
Bermuda,BMU,60129,60497,60943,61285,61833,62504,62912,63325,63740,64154,64523,64888,65273,65636,65124,64564,64798,65001,65139,65239,65341,65441,65441
Bhutan,BTN,519282,528754,542155,557543,573416,589600,606399,623434,640282,656639,672228,686958,700950,714458,727641,740510,752967,764961,776448,787386,797765,807610,807610
Bolivia,BOL,7717443,7870855,8026254,8182712,8339512,8496375,8653345,8810420,8967741,9125409,9283334,9441444,9599855,9758748,9918242,10078343,10239004,10400264,10562159,10724705,10887882,11051600,11051600
Bosnia and Herzegovina,BIH,3780378,3752431,3750485,3759118,3766706,3771284,3775807,3779247,3781287,3781530,3779468,3774000,3763599,3746561,3722084,3688865,3648200,3604999,3566002,3535961,3516816,3507017,3507017
Botswana,BWA,1604060,1637635,1669625,1699862,1728340,1754935,1779953,1804339,1829330,1855852,1884238,1914414,1946351,1979882,2014866,2051339,2089315,2128507,2168573,2209197,2250260,2291661,2291661
Brazil,BRA,164913306,167545164,170170640,172759243,175287587,177750670,180151021,182482149,184738458,186917361,189012412,191026637,192979029,194895996,196796269,198686688,200560983,202408632,204213133,205962108,207652865,209288278,209288278
British Virgin Islands,VGB,18833,19270,19722,20188,20645,21085,21529,22000,22541,23168,23905,24731,25604,26447,27224,27901,28509,29056,29588,30113,30661,31196,31196
Brunei Darussalam,BRN,304699,312038,319222,326289,333241,340117,346867,353389,359523,365158,370250,374864,379252,383772,388662,394013,399748,405716,411704,417542,423196,428697,428697
Bulgaria,BGR,8362826,8312068,8256786,8210624,8170172,8009142,7837161,7775327,7716860,7658972,7601022,7545338,7492561,7444443,7395599,7348328,7305888,7265115,7223938,7177991,7127822,7075947,7075947
Burkina Faso,BFA,10372745,10665546,10968724,11282701,11607942,11944587,12293100,12654621,13030569,13421930,13829177,14252021,14689726,15141099,15605217,16081904,16571216,17072723,17585977,18110624,18646433,19193382,19193382
Burundi,BDI,6041112,6112097,6186352,6278940,6400706,6555829,6741569,6953113,7182451,7423289,7675338,7939573,8212264,8489031,8766930,9043508,9319710,9600186,9891790,10199270,10524117,10864245,10864245
Cabo Verde,CPV,398773,408175,417323,426285,435079,443716,452106,460147,467664,474567,480795,486438,491723,496963,502384,508067,513979,520106,526437,532913,539560,546388,546388
Cambodia,KHM,10980273,11295880,11597739,11883636,12152354,12402473,12634729,12853124,13063377,13270201,13474489,13676693,13880509,14090208,14308740,14537886,14776866,15022692,15270790,15517635,15762370,16005373,16005373
Cameroon,CMR,13812472,14165423,14523570,14891891,15274234,15671927,16084886,16513822,16959081,17420795,17899562,18395389,18907008,19432541,19970495,20520447,21082383,21655715,22239904,22834522,23439189,24053727,24053727
Canada,CAN,29671900,29987200,30247900,30499200,30769700,31081900,31362000,31676000,31995000,32312000,32570505,32887928,33245773,33628571,34005274,34342780,34750545,35152370,35535348,35832513,36264604,36708083,36708083
Cayman Islands,CYM,33536,35597,37740,39808,41687,43316,44738,46028,47299,48622,50031,51483,52926,54279,55507,56579,57523,58371,59172,59963,60765,61559,61559
Central African Rep.,CAF,3435821,3517309,3597385,3676508,3754986,3832203,3907612,3981665,4055036,4127910,4201758,4275800,4345386,4404230,4448525,4476153,4490416,4499653,4515392,4546100,4594621,4659080,4659080
Chad,TCD,7241134,7493251,7759258,8041846,8342559,8663012,9001689,9353201,9710043,10067009,10421597,10775708,11133861,11502786,11887202,12288651,12705135,13133589,13569438,14009413,14452543,14899994,14899994
Channel Islands,CHI,144829,145715,146671,147687,148725,149793,150901,152038,153170,154294,155411,156513,157581,158603,159581,160497,161358,162180,162969,163758,164541,165314,165314
Chile,CHL,14497826,14694835,14887756,15076952,15262754,15444969,15623635,15799542,15973778,16147064,16319792,16491687,16661942,16829442,16993354,17153357,17309746,17462982,17613798,17762681,17909754,18054726,18054726
China,CHN,1217550000,1230075000,1241935000,1252735000,1262645000,1271850000,1280400000,1288400000,1296075000,1303720000,1311020000,1317885000,1324655000,1331260000,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000,1386395000,1386395000
Colombia,COL,38049038,38645411,39234062,39819279,40403958,40988909,41572491,42152151,42724163,43285634,43835722,44374572,44901544,45416181,45918097,46406646,46881475,47342981,47791911,48228697,48653419,49065615,49065615
Comoros,COM,488627,501953,515385,528848,542357,555888,569479,583211,597228,611627,626425,641620,657229,673252,689692,706569,723868,741500,759385,777424,795601,813912,813912
Dem. Rep. Congo,COD,42770544,43830146,44840529,45898667,47076387,48394338,49835756,51390033,53034217,54751476,56543011,58417562,60373608,62409435,64523263,66713597,68978682,71316033,73722860,76196619,78736153,81339988,81339988
Congo,COG,2879222,2962470,3048453,3136344,3225727,3315806,3407180,3502519,3605439,3718243,3842365,3976246,4115435,4253712,4386693,4512730,4633363,4751393,4871101,4995648,5125821,5260750,5260750
Costa Rica,CRI,3596732,3682725,3767373,3848723,3925443,3996798,4063204,4125971,4187038,4247841,4308794,4369469,4429508,4488263,4545280,4600474,4654122,4706401,4757575,4807852,4857274,4905769,4905769
C̫te d'Ivoire,CIV,14995249,15445986,15884552,16300233,16686561,17040152,17366517,17679355,17997738,18336303,18699435,19085941,19497986,19936366,20401331,20895311,21418603,21966312,22531350,23108472,23695919,24294750,24294750
Croatia,HRV,4557097,4534920,4532135,4512597,4468302,4299642,4302174,4303399,4304600,4310145,4311159,4310217,4309705,4305181,4295427,4280622,4267558,4255689,4238389,4203604,4174349,4124531,4124531
Cuba,CUB,10961012,11013983,11064097,11110004,11150736,11186542,11217998,11244885,11266941,11284253,11296233,11303687,11309754,11318602,11333051,11354651,11382146,11412167,11439767,11461432,11475982,11484636,11484636
Curacao,CUW,146306,146956,144472,139428,133860,129047,129205,131897,134192,137658,141239,144056,145880,146833,148703,150831,152088,153822,155909,157980,159664,160175,160175
Cyprus,CYP,873423,891192,908704,926050,943286,960282,976966,993563,1010410,1027658,1045509,1063712,1081563,1098076,1112607,1124835,1135062,1143896,1152309,1160985,1170125,1179551,1179551
Czech Rep.,CZE,10315241,10304131,10294373,10283860,10255063,10216605,10196916,10193998,10197101,10211216,10238905,10298828,10384603,10443936,10474410,10496088,10510785,10514272,10525347,10546059,10566332,10594438,10594438
Denmark,DNK,5263074,5284991,5304219,5321799,5339616,5358783,5375931,5390574,5404523,5419432,5437272,5461438,5493621,5523095,5547683,5570572,5591572,5614932,5643475,5683483,5728010,5764980,5764980
Djibouti,DJI,643682,660953,680612,700099,717584,732711,746221,758615,770752,783254,796208,809402,822934,836840,851146,865937,881185,896688,912164,927414,942333,956985,956985
Dominica,DMA,71145,70753,70290,69903,69676,69670,69824,70093,70379,70627,70807,70950,71074,71229,71440,71718,72044,72400,72778,73162,73543,73925,73925
Dominican Rep.,DOM,8029113,8163472,8296375,8429112,8562622,8697126,8832285,8967760,9102998,9237566,9371338,9504353,9636520,9767758,9897985,10027095,10154950,10281296,10405844,10528394,10648791,10766998,10766998
Ecuador,ECU,11683479,11924993,12163885,12398691,12628596,12852755,13072060,13289601,13509647,13735233,13967480,14205453,14447562,14691275,14934690,15177355,15419666,15661547,15903112,16144368,16385068,16624858,16624858
Egypt,EGY,64933456,66151117,67378056,68626664,69905988,71226940,72590118,73981942,75381899,76778149,78159048,79537253,80953881,82465022,84107606,85897561,87813257,89807433,91812566,93778172,95688681,97553151,97553151
El Salvador,SLV,5671925,5727755,5778706,5825187,5867626,5905962,5940303,5971535,6000775,6028961,6056478,6083475,6110301,6137276,6164626,6192560,6221246,6250777,6281189,6312478,6344722,6377853,6377853
Equatorial Guinea,GNQ,523999,544636,566673,589938,614323,639762,666407,694611,724817,757317,792217,829327,868418,909111,951104,994290,1038593,1083746,1129424,1175389,1221490,1267689,1267689
Eritrea,ERI,3116379,3161350,3224223,3302263,3392801,3497124,3614639,3738265,3858623,3969007,4066648,4153332,4232636,4310334,4390840,4474690,..,..,..,..,..,..,..
Estonia,EST,1415594,1399535,1386156,1390244,1396985,1388115,1379350,1370720,1362550,1354775,1346810,1340680,1337090,1334515,1331475,1327439,1322696,1317997,1314545,1315407,1315790,1317384,1317384
Eswatini,SWZ,981764,1003995,1026009,1045629,1061468,1072927,1080930,1087392,1095053,1105873,1120514,1138434,1158897,1180675,1202843,1225258,1248158,1271456,1295097,1319011,1343098,1367254,1367254
Ethiopia,ETH,59155148,60976450,62794151,64640054,66537331,68492257,70497192,72545144,74624405,76727083,78850689,81000409,83184892,85416253,87702670,90046756,92444183,94887724,97366774,99873033,102403196,104957438,104957438
Faroe Islands,FRO,46058,46251,46580,46937,47258,47526,47769,47974,48143,48285,48383,48448,48485,48517,48550,48608,48666,48747,48842,48965,49117,49290,49290
Fiji,FJI,784476,792860,800315,806494,811223,814218,815691,816628,818354,821817,827411,834812,843340,851967,859950,867086,873596,879715,885806,892149,898760,905502,905502
Finland,FIN,5124573,5139835,5153498,5165474,5176209,5188008,5200598,5213014,5228172,5246096,5266268,5288720,5313399,5338871,5363352,5388272,5413971,5438972,5461512,5479531,5495303,5508214,5508214
France,FRA,59753100,59964851,60186288,60496718,60912500,61357430,61805267,62244886,62704895,63179351,63621381,64016227,64374989,64707044,65027507,65342775,65659789,65998660,66316092,66593366,66859768,67105513,67105513
French Polynesia,PYF,219283,223731,228376,232952,237258,241273,245006,248499,251775,254886,257832,260594,263179,265581,267820,269843,271703,273528,275484,277690,280208,283007,283007
Gabon,GAB,1113994,1142324,1171224,1200773,1231122,1262259,1294409,1328146,1364205,1403126,1444844,1489193,1536411,1586754,1640210,1697101,1756817,1817271,1875713,1930175,1979786,2025137,2025137
Gambia,GMB,1096708,1128169,1160944,1195420,1231844,1270495,1311349,1354194,1398573,1444204,1491021,1539116,1588572,1639560,1692149,1746363,1802125,1859324,1917852,1977590,2038501,2100568,2100568
Georgia,GEO,4491699,4349913,4243607,4157192,4077131,4014373,3978515,3951736,3927340,3902469,3880347,3860158,3848449,3814419,3786695,3756441,3728874,3717668,3719414,3725276,3727505,3728004,3728004
Germany,DEU,81914831,82034771,82047195,82100243,82211508,82349925,82488495,82534176,82516260,82469422,82376451,82266372,82110097,81902307,81776930,80274983,80425823,80645605,80982500,81686611,82348669,82685827,82685827
Ghana,GHA,17185608,17608812,18036494,18477612,18938762,19421605,19924522,20446782,20986536,21542009,22113425,22700212,23298640,23903831,24512104,25121796,25733049,26346251,26962563,27582821,28206728,28833629,28833629
Gibraltar,GIB,30382,30594,30801,30991,31180,31374,31544,31720,31896,32085,32296,32510,32732,32956,33189,33405,33623,33831,34038,34228,34408,34571,34571
Greece,GRC,10608800,10661259,10720509,10761698,10805808,10862132,10902022,10928070,10955141,10987314,11020362,11048473,11077841,11107017,11121341,11104899,11045011,10965211,10892413,10820883,10775971,10753531,10753531
Greenland,GRL,55900,56000,56100,56100,56200,56350,56609,56765,56911,56935,56774,56555,56328,56323,56905,56890,56810,56483,56295,56114,56186,56171,56171
Grenada,GRD,100796,101122,101309,101442,101619,101849,102100,102375,102656,102949,103259,103586,103930,104296,104677,105075,105481,105909,106360,106823,107317,107825,107825
Guam,GUM,148060,150303,152277,153953,155329,156401,157175,157714,158099,158402,158648,158855,159035,159231,159444,159678,159973,160375,160967,161797,162896,164229,164229
Guatemala,GTM,10646674,10887634,11133501,11387203,11650743,11924946,12208848,12500478,12796925,13096028,13397008,13700286,14006366,14316208,14630417,14948919,15271056,15596214,15923559,16252429,16582469,16913503,16913503
Guinea,GIN,8132552,8337988,8503297,8653769,8808546,8971139,9137345,9309848,9490229,9679745,9881428,10096727,10323142,10556524,10794170,11035170,11281469,11536615,11805509,12091533,12395924,12717176,12717176
Guinea-Bissau,GNB,1159060,1179727,1199915,1220794,1243229,1267512,1293523,1321202,1350345,1380838,1412669,1445958,1480841,1517448,1555880,1596154,1638139,1681495,1725744,1770526,1815698,1861283,1861283
Guyana,GUY,761861,760510,757952,755278,753301,752263,751884,751857,751652,750946,749601,747869,746314,745693,746556,749100,753091,758081,763393,768514,773303,777859,777859
Haiti,HTI,7965553,8111951,8258483,8404398,8549200,8692567,8834733,8976552,9119178,9263404,9409457,9556889,9705029,9852870,9999617,10145054,10289210,10431776,10572466,10711061,10847334,10981229,10981229
Honduras,HND,5867849,6028882,6192026,6357221,6524283,6693061,6863157,7033821,7204153,7373430,7541406,7707972,7872658,8035021,8194778,8351600,8505646,8657785,8809216,8960829,9112867,9265067,9265067
"Hong Kong SAR, China",HKG,6435500,6489300,6543700,6606500,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7150100,7178900,7229500,7291300,7336600,7391700,7391700
Hungary,HUN,10311238,10290486,10266570,10237530,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9866468,9843028,9814023,9787966,9787966
Iceland,ISL,268916,271128,274047,277381,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323764,327386,330815,335439,343400,343400
India,IND,978893217,997405318,1015974042,1034539214,1053050912,1071477855,1089807112,1108027848,1126135777,1144118674,1161977719,1179681239,1197146906,1214270132,1230980691,1247236029,1263065852,1278562207,1293859294,1309053980,1324171354,1339180127,1339180127
Indonesia,IDN,199914831,202826465,205715544,208612556,211540429,214506502,217508059,220545214,223614649,226712730,229838202,232989141,236159276,239340478,242524123,245707511,248883232,252032263,255131116,258162113,261115456,263991379,263991379
Iran,IRN,61583089,62710557,63900630,65062660,66131854,67096414,67983330,68812713,69617100,70421811,71227880,72031103,72845542,73687565,74567511,75491582,76453574,77435384,78411092,79360487,80277428,81162788,81162788
Iraq,IRQ,20845893,21509291,22190250,22878156,23565413,24251649,24939299,25627626,26316609,27008426,27697912,28390433,29111417,29894652,30762701,31727053,32776571,33883145,35006080,36115649,37202572,38274618,38274618
Ireland,IRL,3637510,3674171,3712696,3754786,3805174,3866243,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4580084,4599533,4623816,4657740,4701957,4755335,4811321,4811321
Isle of Man,IMN,70431,70869,71390,71952,72554,73192,73870,74587,75341,76118,76914,77727,78534,79325,80072,80759,81406,82013,82590,83167,83737,84287,84287
Israel,ISR,5692000,5836000,5971000,6125000,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215700,8380100,8546000,8713300,8713300
Italy,ITA,56860281,56890372,56906744,56916317,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60627498,60536709,60536709
Jamaica,JAM,2561993,2586827,2611367,2634882,2656864,2677011,2695446,2712511,2728777,2744673,2760279,2775467,2790122,2804082,2817210,2829493,2840992,2851807,2862087,2871934,2881355,2890299,2890299
Japan,JPN,125757000,126057000,126400000,126631000,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127833000,127629000,127445000,127276000,127141000,126994511,126785797,126785797
Jordan,JOR,4716373,4832267,4927912,5014899,5103130,5193482,5287488,5396774,5535595,5714111,5934232,6193191,6489822,6821116,7182390,7574943,7992573,8413464,8809306,9159302,9455802,9702353,9702353
Kazakhstan,KAZ,15577894,15333703,15071300,14928426,14883626,14858335,14858948,14909018,15012985,15147029,15308084,15484192,15674000,16092822,16321872,16557201,16792089,17035550,17288285,17542806,17794055,18037776,18037776
Kenya,KEN,28147734,28954114,29769803,30600397,31450483,32321482,33214009,34130852,35074931,36048288,37052050,38085909,39148416,40237204,41350152,42486839,43646629,44826849,46024250,47236259,48461567,49699862,49699862
Kiribati,KIR,78907,80184,81550,82966,84406,85858,87343,88895,90542,92325,94260,96311,98440,100568,102652,104656,106613,108535,110458,112407,114395,116398,116398
Dem. Rep. Korea, PRK,22113548,22335638,22537336,22731985,22929075,23131810,23336681,23538540,23729498,23904167,24061097,24203289,24335146,24463021,24591599,24722298,24854034,24985976,25116363,25243917,25368620,25490965,25490965
Korea,KOR,45524681,45953580,46286503,46616677,47008111,47370164,47644736,47892330,48082519,48184561,48438292,48683638,49054708,49307835,49554112,49936638,50199853,50428893,50746659,51014947,51245707,51466201,51466201
Kosovo,XKX,2059000,2086000,1966000,1762000,1700000,1701154,1702310,1703466,1704622,1705780,1719536,1733404,1747383,1761474,1775680,1791000,1805200,1824100,1821800,1801800,1816200,1830700,1830700
Kuwait,KWT,1631740,1715314,1836353,1957066,2050741,2109355,2143833,2169118,2207939,2276623,2377258,2503410,2652340,2818939,2998083,3191051,3395556,3598385,3782450,3935794,4052584,4136528,4136528
Kyrgyzstan,KGZ,4628400,4696400,4769000,4840400,4898400,4945100,4990700,5043300,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600,5835500,5956900,6079500,6198200,6198200
